id,city_id,coords,status,status_code,year
163,12:071,"30.4490801249756,59.8735777485797,15.3730298792943 30.4480198416177,59.8748509207091,15.3742052083835 30.447986904253,59.8748439874296,15.3742412747815 30.4479539689939,59.8748370541347,15.3742773430422 30.449014253914,59.873563882795,15.3731020130217 30.4490471886553,59.8735708158256,15.373065947555 30.4490801249756,59.8735777485797,15.3730298792943",возникающий очаг,injured_emerging,2014.0
164,12:072,"30.4671150863172,59.8813291916824,15.3533247672021 30.4670990613457,59.8813452347489,15.3533425088972 30.467083035832,59.8813612775523,15.3533602496609 30.4646342823443,59.8807432862451,15.3560394505039 30.4646503066363,59.8807272426926,15.3560217125341 30.4646663330199,59.8807112001824,15.3560039708391 30.4671150863172,59.8813291916824,15.3533247672021",возникающий очаг,injured_emerging,2014.0
165,12:073,"30.4628639602366,59.9081901786567,15.358271099627 30.4621362545025,59.9090306394217,15.3590777330101 30.4621034776559,59.9090234800464,15.359113571234 30.4620706982204,59.9090163217236,15.359149415046 30.462798405305,59.9081758615799,15.3583427798003 30.4628311835545,59.908183020514,15.358306937851 30.4628639602366,59.9081901786567,15.358271099627",возникающий очаг,injured_emerging,2014.0
166,12:074,"30.4817176968978,59.9140033789735,15.337679519318 30.4817017184965,59.914019438006,15.3376972125843 30.481685740076,59.9140354967735,15.3377149049193 30.4800586017653,59.9136272361829,15.3394926954061 30.4800745807887,59.9136111783995,15.3394750002772 30.4800905592619,59.9135951198273,15.3394573116675 30.4817176968978,59.9140033789735,15.337679519318",возникающий очаг,injured_emerging,2014.0
167,12:075,"30.4274184456589,59.874009996877,15.3967996891588 30.4234367174794,59.8767979126976,15.4011928895488 30.4234333104724,59.8767998443594,15.4011966455728 30.4230823562697,59.8769707658786,15.4015831910074 30.4226855018085,59.877149540469,15.4020201619714 30.4226616723167,59.8771361708511,15.4020461868495 30.4226378407521,59.8771228012356,15.4020722163841 30.4230336655647,59.8769444996888,15.4016363807023 30.4233813209516,59.8767751770031,15.4012534674257 30.4273604351332,59.8739890576862,15.3968631559983 30.4273894401238,59.8739995271542,15.3968314230442 30.4274184456589,59.874009996877,15.3967996891588",возникающий очаг,injured_emerging,2015.0
168,12:076,"30.4296412474202,59.8723147752576,15.3943457771093 30.4278290510135,59.873692108086,15.3963463623077 30.4277992694815,59.8736822046982,15.3963789502159 30.4277694895225,59.8736723002469,15.3964115390554 30.4302439288407,59.8717914066683,15.3936798460782 30.4302737094041,59.8718013095074,15.3936472544447 30.4303034878934,59.8718112123466,15.3936146683991 30.4296412474202,59.8723147752576,15.3943457771093",возникающий очаг,injured_emerging,2015.0
169,12:077,"30.4594184160973,59.8660981000621,15.3616153085604 30.4594232026448,59.8660992216057,15.3616100652143 30.4600871142513,59.8662860878815,15.3608834045008 30.4605706613998,59.8664641421913,15.3603545743972 30.4617940491382,59.8669706545734,15.3590171933174 30.4617713592954,59.8669845130793,15.3590422226116 30.4617486678652,59.8669983715867,15.3590672574937 30.4605268582189,59.8664924942979,15.3604029091075 30.4600485175168,59.8663162929382,15.3609260469675 30.4593906507424,59.8661312033228,15.3616460924968 30.4589069216766,59.8660390777204,15.3621759722009 30.4589195652747,59.8660222898749,15.3621619371697 30.4589322088601,59.8660055020282,15.3621479021385 30.4594184160973,59.8660981000621,15.3616153085604",действующий очаг,injured_active,2015.0
170,12:078,"30.4718520986937,59.9225551007796,15.3485862547532 30.4718170901646,59.9225577393678,15.3486246289685 30.4717838698805,59.9225602429774,15.3486610455438 30.4717416352652,59.9224175515345,15.3487056465819 30.4717765666923,59.9224149150822,15.3486673533916 30.4718123625195,59.922412220839,15.3486281130463 30.4718520986937,59.9225551007796,15.3485862547532",возникающий очаг,injured_emerging,2015.0
171,12:079,"30.4771330191251,59.9215330271635,15.3427901174873 30.4771181332718,59.9215493482674,15.3428066149354 30.4771032453166,59.9215656699031,15.3428231133148 30.4770064878314,59.9215434257162,15.3429288314655 30.4770213742531,59.921527104097,15.3429123330861 30.4770362617151,59.9215107829982,15.3428958347067 30.4771330191251,59.9215330271635,15.3427901174873",возникающий очаг,injured_emerging,2015.0
172,12:080,"30.4751104879728,59.9210593553648,15.344999848865 30.4750958020647,59.9210757228471,15.3450161265209 30.4750811161423,59.9210920903276,15.3450324051082 30.4745683440684,59.9209761258227,15.345592699945 30.4745830301889,59.9209597581358,15.345576422289 30.4745977162988,59.9209433907101,15.3455601446331 30.4751104879728,59.9210593553648,15.344999848865",возникающий очаг,injured_emerging,2015.0
173,12:081,"30.5007244373503,59.8356780072117,15.3159754825756 30.5006508033204,59.8356782872196,15.3160563325509 30.5006430195921,59.8348256627576,15.3160561993718 30.5006786706091,59.8348251979985,15.3160170493647 30.5007143237104,59.8348247329589,15.3159778984264 30.5007244373503,59.8356780072117,15.3159754825756",без признаков поражения,uninjured,2016.0
174,12:081,"30.5006596715826,59.8360966240893,15.3160508619621 30.5007295376308,59.8360944042793,15.3159741302952 30.5007322713889,59.8361471666752,15.3159716688097 30.5006623465734,59.8361454784517,15.3160484228283 30.5006596715826,59.8360966240893,15.3160508619621",без признаков поражения,uninjured,2016.0
175,12:081,"30.5007399914189,59.8365511921491,15.3159673186019 30.5007411997669,59.8366316846788,15.315966816619 30.5006633691243,59.836635259441,15.3160523027182 30.5006621174758,59.8365518695379,15.3160528233275 30.5007399914189,59.8365511921491,15.3159673186019",без признаков поражения,uninjured,2016.0
176,12:081,"30.5001350593687,59.8364931173738,15.3166309036314 30.5001707259188,59.836493081544,15.3165917424485 30.5001756037695,59.837707234829,15.3165987888351 30.500139937504,59.8377072717076,15.3166379481554 30.5001042696554,59.8377073075307,15.316677108407 30.5000993933567,59.8364931542437,15.3166700620204 30.5001350593687,59.8364931173738,15.3166309036314",без признаков поражения,uninjured,2016.0
177,12:081,"30.500761778463,59.8371145925648,15.315949161537 30.5007764165576,59.8377273006045,15.3159393649548 30.5006981752679,59.8377275981498,15.3160252701491 30.5006843582003,59.8371137721409,15.3160341512412 30.500761778463,59.8371145925648,15.315949161537",без признаков поражения,uninjured,2016.0
178,12:082,"30.4773518727637,59.9135504207218,15.3424571454525 30.4773368844591,59.9135667177973,15.3424737565219 30.4773218961512,59.9135830156599,15.3424903638661 30.4770516633441,59.913520347128,15.3427856909111 30.4770666517678,59.9135040500846,15.342769083567 30.477081639642,59.9134877522527,15.3427524752915 30.4773518727637,59.9135504207218,15.3424571454525",не определено,undefined,2015.0
179,13:003,"30.2977295629176,59.973920962827,15.5397453308105 30.2976941243259,59.9739235515674,15.5397841474041 30.2976586846771,59.9739261400377,15.5398229667917 30.2976112014793,59.973762807949,15.5398737583309 30.2975871607667,59.9736801146629,15.5398994768038 30.2975648369953,59.9736033254443,15.539923356846 30.2976002763042,59.9736007367364,15.5398845383897 30.2976357161345,59.9735981482807,15.5398457199335 30.2977295629176,59.973920962827,15.5397453308105",действующий очаг,injured_active,2009.0
180,13:007,"30.3259045275598,59.9685757604097,15.5088585577905 30.3258972596142,59.9685760412767,15.5088665178046 30.3236762180512,59.9685189807002,15.5112976301461 30.3236780518834,59.9685010535705,15.5112954769284 30.323679885711,59.9684831261779,15.5112933265045 30.3258957283214,59.9685400664818,15.5088679036126 30.3275574696399,59.9683866127548,15.5070474194363 30.3302919513416,59.9678428581368,15.5040493309498 30.330305154926,59.9678595453829,15.5040350109339 30.3303183585107,59.9678762313129,15.5040206946433 30.3275802187671,59.9684207099186,15.5070227896795 30.3275738962184,59.9684216016765,15.5070297205821 30.3259045275598,59.9685757604097,15.5088585577905",действующий очаг,injured_active,2009.0
181,13:008,"30.315577398146,59.971256799888,15.5201857322827 30.3155625467416,59.9712731344347,15.5202021198347 30.3155476937491,59.9712894689834,15.5202185083181 30.3152088101526,59.9712120450578,15.5205889018252 30.3152236632775,59.9711957105468,15.5205725124106 30.3152385148143,59.971179376038,15.5205561267212 30.315577398146,59.971256799888,15.5201857322827",возникающий очаг,injured_emerging,2009.0
182,13:009,"30.3178976856355,59.9674710387497,15.5176158864051 30.3178933208829,59.9674888564664,15.5176208047196 30.3178889566399,59.9675066731299,15.5176257202402 30.3166658430477,59.9674313788039,15.5189642934129 30.3166702079303,59.9674135613912,15.5189593788236 30.3166745728057,59.9673957437155,15.5189544605091 30.3178976856355,59.9674710387497,15.5176158864051",возникающий очаг,injured_emerging,2009.0
183,13:010,"30.2901594824516,59.9520714295839,15.547885671258 30.2901300969088,59.9520816781169,15.5479179332033 30.2901007129181,59.952091926377,15.5479501914233 30.2892897313632,59.9515069532423,15.5488349273801 30.2893191150852,59.9514967048991,15.5488026710227 30.289348498789,59.9514864565493,15.5487704118714 30.2901594824516,59.9520714295839,15.547885671258",вырублено,felled,2016.0
184,13:011,"30.2927315923401,59.951284545281,15.5450626304373 30.2927573008678,59.951320151622,15.545034696348 30.2926504517831,59.9513508020965,15.5451519573107 30.292590232068,59.9513691072574,15.5452180523425 30.2925725678539,59.9513544872065,15.5452373111621 30.2925531336498,59.9513384026315,15.545258496888 30.2927315923401,59.951284545281,15.5450626304373",возникающий очаг,injured_emerging,2016.0
185,13:012,"30.2936611111914,59.9516007737875,15.5440463442355 30.2932203398116,59.951732144063,15.5445300964639 30.2932020577782,59.9517167111854,15.5445500258356 30.2931837757642,59.9517012785681,15.5445699514821 30.2936245453163,59.9515699094695,15.5440862001851 30.2936428274556,59.9515853412372,15.544066272676 30.2936611111914,59.9516007737875,15.5440463442355",вырублено,felled,2016.0
186,13:013,"30.2980762116792,59.9603600357072,15.5392691446468 30.2980630675618,59.9603767333368,15.5392836583778 30.2980499213268,59.960393430181,15.5392981730402 30.297789429874,59.9603418627023,15.5395831130445 30.2978025756884,59.9603251650962,15.5395686039701 30.2978157220115,59.9603084672247,15.5395540883765 30.2980762116792,59.9603600357072,15.5392691446468",действующий очаг,injured_active,2009.0
187,13:015,"30.292981017909,59.9724600620603,15.5449336897582 30.2929439303282,59.972555199109,15.5449749715626 30.293328756144,59.9725922037045,15.5445538992062 30.2933220091894,59.972609833667,15.5445614121854 30.2933152617008,59.9726274633673,15.544568926096 30.2928951444617,59.9725870653507,15.545028612949 30.2928897142077,59.972586317278,15.5450345529243 30.292884584497,59.972585151801,15.5450401604176 30.2928798830388,59.9725835970326,15.5450452966616 30.2928757261028,59.9725816924167,15.5450498368591 30.2928722163883,59.9725794850521,15.5450536618009 30.2928694409147,59.9725770283828,15.5450566830114 30.2928674673729,59.972574384835,15.5450588250533 30.292866345634,59.972571618452,15.5450600348413 30.2928661020049,59.972568797799,15.5450602816418 30.2928667434019,59.9725659933249,15.5450595580041 30.2929107226956,59.972453176606,15.5450106048957 30.2929458692461,59.9724566189457,15.5449721477926 30.292981017909,59.9724600620603,15.5449336897582",действующий очаг,injured_active,2009.0
188,13:016,"30.2892767881912,59.972018694577,15.5489863315597 30.2883929665118,59.9720858224994,15.5499545130879 30.2883876010973,59.9720680738488,15.5499602649361 30.2883822362131,59.9720503251968,15.5499660167843 30.2892660569643,59.9719831968208,15.5489978361875 30.2892714223172,59.9720009462255,15.5489920852706 30.2892767881912,59.972018694577,15.5489863315597",возникающий очаг,injured_emerging,2009.0
189,13:017,"30.3006865053011,59.975727194586,15.5365215269849 30.3006725449756,59.9757437265411,15.5365369301289 30.3006585872496,59.9757602574371,15.536552333273 30.3001112242376,59.9756441528107,15.5371506791562 30.3001251842768,59.9756276209157,15.5371352741495 30.3001391427307,59.9756110892856,15.5371198700741 30.3006865053011,59.975727194586,15.5365215269849",возникающий очаг,injured_emerging,2009.0
190,13:018,"30.3043365256277,59.9622380051148,15.5324261896312 30.304401850094,59.962281263106,15.532354963012 30.30437330847,59.9622920989041,15.5323862982914 30.3043447663126,59.962302935749,15.5324176335707 30.3042807365414,59.9622605355663,15.5324874483049 30.3042662779409,59.9622509613023,15.5325032155961 30.3042948195549,59.9622401244755,15.5324718793854 30.3043233616746,59.9622292876414,15.5324405450374 30.3043365256277,59.9622380051148,15.5324261896312",возникающий очаг,injured_emerging,2009.0
191,13:019,"30.3087324065107,59.9610009121362,15.527603094466 30.3087093480732,59.9610146434942,15.5276284497231 30.3086862896216,59.9610283753739,15.5276538012549 30.3081641761643,59.9608079335797,15.5282239830121 30.308187234677,59.9607942015277,15.5281986314803 30.3082102931706,59.9607804694717,15.5281732780859 30.3087324065107,59.9610009121362,15.527603094466",возникающий очаг,injured_emerging,2009.0
192,13:020,"30.3283677373575,59.9579912397236,15.5060769738629 30.3273354390095,59.9587761422557,15.5072136251256 30.3273055558269,59.9587662585333,15.5072462735698 30.3272756726647,59.958756375067,15.5072789210826 30.3283079718143,59.9579714729994,15.506142267026 30.3283378545757,59.9579813562334,15.5061096195132 30.3283677373575,59.9579912397236,15.5060769738629",затухающий очаг,injured_damped,2009.0
193,13:021,"30.3173489496632,59.9744705962587,15.5182717824355 30.3173151363892,59.974476513426,15.5183088416234 30.3172813225811,59.9744824308489,15.5183459045365 30.3169911902122,59.9740658809846,15.5186601821333 30.3170250036554,59.9740599644248,15.5186231229454 30.317058816557,59.9740540473317,15.5185860600322 30.3173489496632,59.9744705962587,15.5182717824355",возникающий очаг,injured_emerging,2009.0
194,13:022,"30.3189347784993,59.9758527414794,15.5165469832718 30.3189153586565,59.9758678245921,15.5165683617815 30.318895938796,59.975882907702,15.5165897393599 30.3182957305805,59.9756887723645,15.5172451594844 30.3183151521669,59.9756736885498,15.5172237809747 30.3183345721696,59.9756586055248,15.5172024015337 30.3189347784993,59.9758527414794,15.5165469832718",возникающий очаг,injured_emerging,2009.0
195,13:023,"30.3165481550915,59.9563756301567,15.5190091747791 30.3165440162964,59.956377427195,15.5190137214959 30.3165393804157,59.9563788867757,15.5190188111737 30.3165343545952,59.9563799741984,15.5190243208781 30.3165290560444,59.9563806655185,15.5190301304683 30.3165236109478,59.9563809433433,15.5190360965207 30.3142457188356,59.9564092339208,15.5215311795473 30.3142384241346,59.95640890922,15.521539167501 30.3113170779718,59.9560956094671,15.5247365599498 30.3113090262028,59.9560939302145,15.52474536933 30.3094319671654,59.9554803199395,15.5267968960106 30.3094257265541,59.9554774155579,15.5268037114292 30.3087341401699,59.955057510512,15.5275582196191 30.308332286946,59.9548135126571,15.527996650897 30.3081886315855,59.9547262875406,15.5281533822417 30.308184856135,59.9547234843555,15.5281574977562 30.3068053607051,59.9533783305695,15.5296590561047 30.3068032181267,59.953375771226,15.5296613844112 30.3064478006134,59.9528382981589,15.5300469407812 30.3063467523215,59.9526854857317,15.5301565639675 30.3060634906696,59.9522568611399,15.5304638631642 30.306062342031,59.9522521876517,15.530465089716 30.3061481973121,59.951679641723,15.5303670428693 30.3061838852898,59.9516809905716,15.5303279561922 30.3062195732704,59.9516823394105,15.5302888704464 30.3061342822835,59.952250116954,15.5303862672299 30.3064116439683,59.9526695700113,15.5300853671506 30.3065126723086,59.9528223519363,15.5299757672474 30.3068702864656,59.9533631470614,15.5295878285542 30.3082462882622,59.9547049189465,15.5280900774524 30.3084946721215,59.9548557331224,15.5278190821409 30.3089974207411,59.9551609899707,15.5272705797106 30.3094773014519,59.9554523547356,15.5267470395193 30.3113406511186,59.9560614917202,15.524710492231 30.3115054650665,59.956079165657,15.5245301024988 30.3118787610194,59.9561191950052,15.5241215275601 30.3142485373232,59.9563732872397,15.52152782958 30.3165074326241,59.9563452306818,15.5190535485744 30.3173394128111,59.9559239711757,15.5181391835213 30.3175357915435,59.9558245353763,15.5179233560339 30.3180475845047,59.955565387014,15.5173608744517 30.3180810796491,59.9555484256141,15.5173240602016 30.318136833919,59.9555023639874,15.5172626506537 30.3192991739156,59.9545420410719,15.5159823857248 30.3193027919809,59.9545395587039,15.5159784052521 30.3193072044529,59.9545374214774,15.5159735558555 30.3193122777547,59.9545356949212,15.5159679865465 30.3193178650294,59.9545344264545,15.5159618556499 30.31932380152,59.9545336556519,15.5159553503618 30.3193299144396,59.9545334047544,15.5159486532211 30.3193360214182,59.9545336807762,15.5159419616684 30.3193419457032,59.9545344752055,15.5159354805946 30.3205741621856,59.954759971017,15.5145875494927 30.3205618940045,59.9547768349649,15.5146011132747 30.3205496237114,59.9547936986537,15.514614680782 30.3193451141804,59.9545732734313,15.5159323010594 30.3181613814357,59.9555512712435,15.5172361293808 30.3181400820418,59.9555688674219,15.5172595884651 30.3181359655546,59.9555716052088,15.5172641193494 30.3180693085521,59.9556054060156,15.5173373781145 30.3176830993395,59.9558009652719,15.517761840485 30.3174987024415,59.955894333307,15.5179645000026 30.3174318501256,59.9559281847398,15.5180379711092 30.3173792271645,59.9559548300723,15.518095809035 30.3165481550915,59.9563756301567,15.5190091747791",действующий очаг,injured_active,2009.0
